10000002,10000002,Deficit di 11-beta-idrossilasi,11-beta-hydroxylase deficiency,10010331,,,,,,,
10000005,10000005,17-chetosteroidi urinari,17 ketosteroids urine,10022891,,,,,,,
10000007,10000007,17-chetosteroidi urinari diminuiti,17 ketosteroids urine decreased,10022891,,,,,,,
10000009,10000009,17-chetosteroidi urinari aumentati,17 ketosteroids urine increased,10022891,,,,,,,
10000011,10000011,17-ketosteroidi urinari normali,17 ketosteroids urine normal,10022891,,,,,,,
10000013,10000013,"Deficit di 17,20-desmolasi","17,20-desmolase deficiency",10010331,,,,,,,
10000014,10000014,Deficit di 17-alfa-idrossilasi,17-alpha-hydroxylase deficiency,10010331,,,,,,,
10000020,10000020,"Deficit di 20,22-desmolasi","20,22-desmolase deficiency",10010331,,,,,,,
10000021,10000021,Deficit di 21-idrossilasi,21-hydroxylase deficiency,10010331,,,,,,,
10000028,10000028,5'-nucleotidasi aumentata,5'nucleotidase increased,10022891,,,,,,,
10000029,10000029,Deficit di 5-alfa-reduttasi,5-alpha-reductase deficiency,10010331,,,,,,,
10000044,10000044,Schiacciamento addominale,Abdomen crushing,10022117,,,,,,,
10000050,10000050,Aderenze addominali,Abdominal adhesions,10017947,,,,,,,
10000059,10000059,Fastidio addominale,Abdominal discomfort,10017947,,,,,,,
10000060,10000060,Distensione dell'addome,Abdominal distension,10017947,,,,,,,
10000077,10000077,Massa addominale,Abdominal mass,10017947,,,,,,,
10000081,10000081,Dolore addominale,Abdominal pain,10017947,,,,,,,
10000084,10000084,Dolore addominale inferiore,Abdominal pain lower,10017947,,,,,,,
10000087,10000087,Dolore addominale superiore,Abdominal pain upper,10017947,,,,,,,
10000090,10000090,Rigidità addominale,Abdominal rigidity,10017947,,,,,,,
10000094,10000094,Riparazione di fistola addominale,Abdominal sinus repair,10042613,,,,,,,
10000097,10000097,Dolorabilità addominale,Abdominal tenderness,10017947,,,,,,,
10000098,10000098,Trasposizione addominale,Abdominal transposition,10010331,,,,,,,
10000099,10000099,Ascesso della parete addominale,Abdominal wall abscess,10021881,,,,,,,
10000101,10000101,Anomalia della parete addominale,Abdominal wall anomaly,10010331,,,,,,,
10000111,10000111,Intervento chirurgico su nervo abducente,Abducent nerve operation,10042613,,,,,,,
10000125,10000125,Sogni anormali,Abnormal dreams,10037175,,,,,,,
10000133,10000133,Feci anormali,Abnormal faeces,10017947,,,,,,,
10000153,10000153,Travaglio anormale,Abnormal labour,10036585,,,,,,,
10000154,10000154,Travaglio anormale con ripercussioni sul feto,Abnormal labour affecting foetus,10036585,,,,,,,
10000159,10000159,Dimagrimento anomalo,Abnormal loss of weight,10027433,,,,,,,
10000162,10000162,Pieghe palmari/plantari anormali,Abnormal palmar/plantar creases,10010331,,,,,,,
10000173,10000173,Sensibilità oculare anormale,Abnormal sensation in eye,10015919,,,,,,,
10000188,10000188,Aumento anomalo del peso,Abnormal weight gain,10027433,,,,,,,
10000205,10000205,Malattia emolitica del neonato da incompatibilità ABO,ABO haemolytic disease of newborn,10010331,,,,,,,
10000206,10000206,Incompatibilità ABO,ABO incompatibility,10021428,,,,,,,
10000209,10000209,Gravidanza abortita,Aborted pregnancy,10041244,,,,,,,
10000210,10000210,Aborto,Abortion,10036585,,,,,,,
10000212,10000212,Aborto completo complicato,Abortion complete complicated,10036585,,,,,,,
10000217,10000217,Aborto incompleto,Abortion incomplete,10036585,,,,,,,
10000218,10000218,Aborto incompleto complicato,Abortion incomplete complicated,10036585,,,,,,,
10000220,10000220,Aborto indotto,Abortion induced,10042613,,,,,,,
10000221,10000221,Aborto indotto completo complicato,Abortion induced complete complicated,10022117,,,,,,,
10000223,10000223,Aborto indotto complicato,Abortion induced complicated,10022117,,,,,,,
10000225,10000225,Aborto indotto incompleto complicato,Abortion induced incomplete complicated,10022117,,,,,,,
10000228,10000228,Aborto infetto,Abortion infected,10021881,,,,,,,
10000230,10000230,Aborto ritenuto,Abortion missed,10036585,,,,,,,
10000234,10000234,Aborto spontaneo,Abortion spontaneous,10036585,,,,,,,
10000236,10000236,Aborto spontaneo completo complicato,Abortion spontaneous complete complicated,10036585,,,,,,,
10000238,10000238,Aborto spontaneo complicato,Abortion spontaneous complicated,10036585,,,,,,,
10000239,10000239,Aborto spontaneo incompleto complicato,Abortion spontaneous incomplete complicated,10036585,,,,,,,
10000242,10000242,Minaccia di aborto,Abortion threatened,10036585,,,,,,,
10000269,10000269,Ascesso,Abscess,10021881,,,,,,,
10000272,10000272,Ascesso batterico,Abscess bacterial,10021881,,,,,,,
10000279,10000279,Drenaggio di ascesso,Abscess drainage,10042613,,,,,,,
10000285,10000285,Ascesso dell'intestino,Abscess intestinal,10021881,,,,,,,
10000295,10000295,Ascesso del meato uditivo esterno,Abscess of external auditory meatus,10021881,,,,,,,
10000297,10000297,Ascesso della palpebra,Abscess of eyelid,10021881,,,,,,,
10000305,10000305,Ascesso della ghiandola salivare,Abscess of salivary gland,10021881,,,,,,,
10000311,10000311,Ascesso orale,Abscess oral,10021881,,,,,,,
10000317,10000317,Ascesso sterile,Abscess sterile,10018065,,,,,,,
10000318,10000318,Ascesso della ghiandola sudoripara,Abscess sweat gland,10021881,,,,,,,
10000340,10000340,Astensione dall'alcool,Abstains from alcohol,10041244,,,,,,,
10000346,10000346,Acalcolia,Acalculia,10029205,,,,,,,
10000349,10000349,Acantosi,Acanthosis,10040785,,,,,,,
10000350,10000350,Acantosi nigricans,Acanthosis nigricans,10040785,,,,,,,
10000351,10000351,Acariasi,Acariasis,10021881,,,,,,,
10000358,10000358,Ipertensione accelerata,Accelerated hypertension,10047065,,,,,,,
10000361,10000361,Padiglione auricolare accessorio,Accessory auricle,10010331,,,,,,,
10000362,10000362,Osso carpale accessorio,Accessory carpal bone,10010331,,,,,,,
10000364,10000364,Muscolo accessorio,Accessory muscle,10010331,,,,,,,
10000368,10000368,Ghiandole salivari accessorie,Accessory salivary gland,10010331,,,,,,,
10000369,10000369,Incidente,Accident,10022117,,,,,,,
10000370,10000370,Infortunio a casa,Accident at home,10022117,,,,,,,
10000372,10000372,Infortunio sul lavoro,Accident at work,10022117,,,,,,,
10000381,10000381,Sovradosaggio accidentale,Accidental overdose,10022117,,,,,,,
10000383,10000383,Avvelenamento accidentale,Accidental poisoning,10022117,,,,,,,
10000389,10000389,Disturbo dell'accomodazione,Accommodation disorder,10015919,,,,,,,
10000397,10000397,Frattura dell'acetabolo,Acetabulum fracture,10022117,,,,,,,
10000410,10000410,Acetonemia,Acetonaemia,10027433,,,,,,,
